PLAYER,YRS,G,MP,PTS,TRB,AST,FG_PERCENTAGE,TP_PERCENTAGE,FT_PERCENTAGE,MP_PER_GAME,PTS_PER_GAME,TRB_PER_GAME,AST_PER_GAME,WS,WS_FE,BPM,VORP,MVP,ROY,DPOY,SMOY,MIP,ASG,TITLES,FMVP
Marcus Thornton,0.2187,0.2393,0.1278,0.1000,0.0938,0.0377,0.3785,0.3992,0.4880,0.4046,0.2879,0.2012,0.1088,0.0819,0.3417,0.3837,0.0669,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Chase Budinger,0.1913,0.2017,0.0905,0.0556,0.0863,0.0264,0.3830,0.3925,0.4686,0.3406,0.1911,0.2156,0.0932,0.0582,0.3362,0.3514,0.0397,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Nick Calathes,0.0547,0.0639,0.0227,0.0103,0.0169,0.0197,0.3928,0.3211,0.3416,0.2697,0.1113,0.1366,0.2098,0.0144,0.2811,0.3514,0.0223,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Danny Green,0.4100,0.4123,0.2364,0.1252,0.1967,0.0711,0.3750,0.4460,0.4733,0.4340,0.2105,0.2444,0.1166,0.1956,0.4189,0.4577,0.1826,0.0000,0.0000,,0.0000,,0.0000,0.5437,0.0000
Henk Norel,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0043,0.1075,0.3745,0.0157,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Taylor Griffin,0.0273,0.0040,0.0004,0.0002,0.0001,0.0001,0.3563,0.0000,0.2940,0.0692,0.0315,0.0216,0.0078,0.0043,0.0000,0.0000,0.0149,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Sergiy Gladyr,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0043,0.1075,0.3745,0.0157,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Goran Suton,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0043,0.1075,0.3745,0.0157,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Jack McClinton,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0043,0.1075,0.3745,0.0157,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
A.J. Price,0.1640,0.1293,0.0444,0.0265,0.0262,0.0316,0.3384,0.3523,0.4362,0.2611,0.1403,0.1006,0.1709,0.0225,0.2673,0.3144,0.0215,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Nando De Colo,0.0547,0.0590,0.0160,0.0079,0.0147,0.0113,0.3821,0.4048,0.4909,0.2058,0.0919,0.1294,0.1321,0.0136,0.3307,0.3421,0.0198,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Robert Vaden,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0043,0.1075,0.3745,0.0157,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Patty Mills,0.4100,0.4420,0.2035,0.1372,0.1022,0.1105,0.3776,0.4304,0.5033,0.3493,0.2129,0.1150,0.1709,0.1432,0.3720,0.3699,0.0868,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Ahmad Nivins,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0043,0.1075,0.3745,0.0157,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Emir Preldžić,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0043,0.1075,0.3745,0.0157,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Lester Hudson,0.1093,0.0282,0.0067,0.0047,0.0054,0.0040,0.3340,0.3089,0.4739,0.1798,0.1137,0.1006,0.0932,0.0050,0.1516,0.2774,0.0157,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Chinemelu Elonu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0043,0.1075,0.3745,0.0157,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Robert Dozier,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0043,0.1075,0.3745,0.0157,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
